,국내총생산대비(A/B) (%),기초연구,응용연구,개발연구
2003-01-01,2.28,0.329842193,0.475161646,1.474996162
2003-02-01,2.3044231762355833,0.336047859418188,0.48147133497753725,1.4869039828495367
2003-03-01,2.3242156840271773,0.3411720646394542,0.48666077481430925,1.4963828455701325
2003-04-01,2.343794136314418,0.34634133529557387,0.49187027695688673,1.5055825250224517
2003-05-01,2.3605785754301647,0.3508678047771744,0.49640347811070723,1.5133072934479639
2003-06-01,2.3758732987179707,0.35508334028967525,0.5005924891926473,1.5201974700665446
2003-07-01,2.3888689565087913,0.3587447866755884,0.5041956700042508,1.525928500572093
2003-08-01,2.4006172607245166,0.36212634293395435,0.5074831301062465,1.5310077883231554
2003-09-01,2.4108458459107056,0.3651299677569087,0.5103580064006614,1.5353578722761394
2003-10-01,2.4194768579975525,0.3677059919141691,0.5127762430822725,1.5389946234032332
2003-11-01,2.4272710325266824,0.3700562529228656,0.5149289534364764,1.5422858264377517
2003-12-01,2.4339029262005774,0.372057935916078,0.516705871505315,1.5451391189177273
2004-01-01,2.44,0.373874589,0.518255356,1.547870055
2004-02-01,2.445517172288142,0.3754659583732678,0.5195438645351896,1.550507349241137
2004-03-01,2.4503220908496726,0.3767781055913482,0.520540191241659,1.5530037937505725
2004-04-01,2.4552578180505895,0.37802130372801057,0.5214108482308031,1.5558256656937595
2004-05-01,2.4600124552589806,0.37909602657960517,0.5220904768897635,1.558825951270428
2004-06-01,2.4650883130245744,0.38010402490955086,0.5226542833024266,1.5623300041771966
2004-07-01,2.4703353233249206,0.3810090814431053,0.5230945114425468,1.5662317297022756
2004-08-01,2.4762886215825444,0.38190163585581816,0.5234704073594213,1.570916577538846
2004-09-01,2.4829703917366563,0.3827814161354798,0.5237963892229586,1.5763925854743375
2004-10-01,2.490309579387997,0.38364978525257054,0.5240932637863763,1.5825665293896571
2004-11-01,2.49898079844916,0.3845947370548762,0.5244107201938583,1.5899753402040027
2004-12-01,2.5086020221044327,0.38558412178556656,0.5247568959678806,1.5982610033405793
2005-01-01,2.52,0.386714001,0.525184767,1.608101231
2005-02-01,2.532998207921931,0.3879796062465061,0.5257106252479896,1.619307975464295
2005-03-01,2.5459911772316675,0.3892479846593809,0.5262800543105645,1.6304631373519314
2005-04-01,2.561562415147473,0.39079649695158564,0.5270228826451633,1.6437430347181707
2005-05-01,2.5776195893506744,0.3924448787979847,0.527861924649712,1.65731278515936
2005-06-01,2.595021063026323,0.3943089041825376,0.5288613684695036,1.671850789732967
2005-07-01,2.61244111900538,0.39627394365552787,0.5299646328734648,1.68620254194006
2005-08-01,2.6308289792579553,0.39847688170935486,0.5312535208335163,1.701098576289167
2005-09-01,2.6493947293471685,0.4008610214977405,0.5327020842924542,1.7158316232390862
2005-10-01,2.6673256864179202,0.40334647386082656,0.5342639380584623,1.7297152742788988
2005-11-01,2.6856051325131025,0.4061048174836855,0.5360514577275969,1.7434488571726467
2005-12-01,2.702850707081767,0.40896372496574207,0.5379572184656018,1.7559297635942925
2006-01-01,2.72,0.412119672,0.540116523,1.767763805
2006-02-01,2.7362971775645897,0.41547697385543625,0.5424690662141056,1.7783511375286076
2006-03-01,2.7502919598693256,0.4186475080229467,0.544732873629907,1.7869115782631901
2006-04-01,2.7650345647780483,0.42226278994629207,0.5473550920531296,1.7954166828247626
