산업별,종사자규모별,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2020_1,2021,2022
운수 및 창고업(49~52),10 - 19명,4339,4369,4180,4441,4667,4777,4645,4856,5220,5287,6402,6364,6280,6343,5219,5957,6560,6218
운수 및 창고업(49~52),20 - 49명,2923,3056,3124,3330,3711,3654,3645,3759,4075,4541,4338,4598,4648,4679,3995,4447,5050,5007
숙박 및 음식점업(55~56),계,624450,627039,624605,628624,636278,654892,673064,685669,702596,710248,729175,747577,766315,785706,829555,865333,863009,858593
숙박 및 음식점업(55~56),1 - 4명,565931,565879,563412,565444,583121,594565,598450,605700,616660,617466,633168,649333,656577,668943,744753,778574,774661,756266
숙박 및 음식점업(55~56),5 - 9명,47275,49466,49327,50744,39709,45825,59862,63667,68664,73671,76725,80150,87580,94479,67598,69049,70696,81761
숙박 및 음식점업(55~56),10 - 19명,8209,8622,8789,9188,9821,10927,11093,12224,13110,14329,14675,13879,17634,17880,13688,14034,14137,16620
숙박 및 음식점업(55~56),20 - 49명,2529,2511,2465,2571,2857,2897,2903,3214,3229,3610,3499,3380,3749,3620,2922,3054,2952,3329
정보통신업(58~63),계,23826,24271,23787,24306,26299,29902,33779,35290,40304,42425,42539,42887,43888,45303,49435,113304,120745,127974
정보통신업(58~63),1 - 4명,11022,11228,10918,11226,12826,14844,18626,19596,23231,24415,24271,25281,25787,27911,31587,90206,96256,103698
정보통신업(58~63),5 - 9명,5539,5614,5578,5629,5595,6684,6907,7056,7958,8248,8521,8004,8259,7843,8098,11047,11601,11026
정보통신업(58~63),10 - 19명,3243,3273,3135,3225,3503,3862,3707,3958,4255,4618,4723,4497,4653,4315,4594,5973,6312,6150
정보통신업(58~63),20 - 49명,2473,2563,2453,2547,2658,2797,2760,2810,2989,3161,3070,3142,3171,3114,3073,3775,4124,4499
금융 및 보험업(64~66),계,35572,36996,37576,38408,39485,40814,41799,41609,41969,42192,42809,43514,43568,43555,43242,64108,64519,65050
금융 및 보험업(64~66),1 - 4명,9611,9713,9665,10034,10564,10963,11373,11623,12200,11540,11949,13254,13843,14822,16566,36518,36147,37222
금융 및 보험업(64~66),5 - 9명,8040,8604,8987,9215,9525,9646,10123,10270,10184,11333,10993,10614,10824,10682,10137,10636,10927,10708
금융 및 보험업(64~66),10 - 19명,9528,10084,10097,10329,10591,11133,11138,10731,10757,10090,10779,10716,10505,10003,9163,9377,9475,9270
금융 및 보험업(64~66),20 - 49명,6752,6874,6881,6685,6703,6935,7064,6991,6868,7141,7111,6990,6442,5944,5297,5420,5817,5768
부동산업(68),계,106075,110768,112817,114083,114006,117682,119049,119832,127228,131079,143461,152083,160152,168481,177046,278339,285968,290074
부동산업(68),1 - 4명,88232,93251,94441,95245,95297,98382,99271,99685,105957,108977,120118,128651,135737,142038,153827,251654,256797,261935
부동산업(68),5 - 9명,10231,10403,10810,11019,11003,11581,12224,12287,13468,14269,15035,15191,15830,17379,15425,18119,19629,18934
부동산업(68),10 - 19명,5108,4803,5195,5230,5266,5350,5344,5506,5501,5501,5881,5922,6136,6517,5628,6136,7044,6844
부동산업(68),20 - 49명,2012,1851,1913,2087,1963,1969,1817,1924,1868,1850,1904,1853,2001,2027,1710,1910,2031,1937
"전문, 과학 및 기술 서비스업(70~73)",계,62506,64975,66517,67721,70372,76792,84260,87868,96865,102866,103223,104252,112302,118129,129778,221460,223434,226570
"전문, 과학 및 기술 서비스업(70~73)",1 - 4명,38394,39469,39955,41064,43918,48076,54498,56126,62628,65967,66028,67164,72764,77920,90442,175396,176102,180484
"전문, 과학 및 기술 서비스업(70~73)",5 - 9명,14862,15373,16093,15564,14636,16271,17691,18556,20319,21538,21699,21637,23399,23672,22406,26674,26827,25631
"전문, 과학 및 기술 서비스업(70~73)",10 - 19명,5060,5504,5513,5798,6244,6732,6353,7035,7568,8377,8692,8666,8998,8900,9194,10785,11496,11107
"전문, 과학 및 기술 서비스업(70~73)",20 - 49명,2751,2990,3118,3292,3507,3683,3623,3977,4147,4583,4395,4401,4637,4892,4894,5578,5982,6219
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,45740,46321,45650,46231,48268,52823,56639,59755,65603,66668,67237,68177,70542,73282,77568,151264,142424,138183
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",1 - 4명,32862,32700,32090,31626,33252,35521,38823,40200,44622,43742,45453,46718,48508,50566,57512,126515,117480,114636
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",5 - 9명,5329,5489,5398,5582,5074,6301,6926,7669,8450,8864,8627,8356,8805,9501,8124,10597,10632,9444
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",10 - 19명,2891,3053,2945,3349,3640,4207,3907,4319,4532,5082,4871,4853,5032,5127,4487,5513,5507,5375
"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",20 - 49명,2560,2660,2682,3083,3320,3808,3762,4169,4419,4941,4480,4473,4410,4404,3999,4717,4922,4871
"공공행정, 국방 및 사회보장 행정(84)",계,12266,12044,11755,11665,11869,11903,11939,12027,12057,12364,12454,12488,12521,12570,12385,12480,12568,12642
"공공행정, 국방 및 사회보장 행정(84)",1 - 4명,2990,2719,2455,2106,1947,1909,1926,1888,1863,1823,1827,1805,1735,1693,1658,1675,1584,1640
"공공행정, 국방 및 사회보장 행정(84)",5 - 9명,1250,1182,1128,1314,1477,1536,1561,1492,1550,1670,1581,1515,1490,1510,1472,1485,1336,1291
"공공행정, 국방 및 사회보장 행정(84)",10 - 19명,3931,3925,3768,3540,3486,3805,3696,3839,3807,3696,3655,3489,3249,2908,2823,2837,2774,2621
"공공행정, 국방 및 사회보장 행정(84)",20 - 49명,2272,2321,2446,2563,2845,2730,2816,2831,2865,3087,3286,3498,3751,4002,3893,3916,4261,4448
교육 서비스업(85),계,150024,156164,160277,162601,166527,170575,172289,173740,175606,175800,180595,185275,189800,193790,191529,234741,249231,256060
교육 서비스업(85),1 - 4명,112441,116900,120306,121770,126210,130179,130790,131248,132917,131431,135861,137732,139456,142862,147230,188642,202583,208555
교육 서비스업(85),5 - 9명,16354,17361,17548,17953,16441,16725,18085,18666,18538,19107,19364,21309,23826,24360,19960,21156,21145,21610
교육 서비스업(85),10 - 19명,8313,8740,8846,8938,9240,9257,8909,9032,9118,9539,9577,10029,10320,9880,8700,9056,9267,9254
교육 서비스업(85),20 - 49명,6758,6816,6968,7153,7423,7225,7077,7306,7596,8066,8286,8709,8515,8696,7814,7989,8362,8535
"예술, 스포츠 및 여가관련 서비스업(90~91)",계,97527,98059,100134,101955,101745,103675,104597,104222,103977,101055,110230,118797,121639,124621,123249,143161,143372,144915
"예술, 스포츠 및 여가관련 서비스업(90~91)",1 - 4명,91309,91453,93436,94729,95286,95943,95464,94015,93264,89630,97354,104619,106109,108189,111312,130316,130057,130043
"예술, 스포츠 및 여가관련 서비스업(90~91)",5 - 9명,3838,4116,4064,4400,3532,4533,5871,6395,6765,7202,8617,9564,10480,11183,7551,8174,8436,9482
"예술, 스포츠 및 여가관련 서비스업(90~91)",10 - 19명,1193,1272,1302,1362,1400,1592,1611,1985,2097,2259,2294,2589,2823,2935,2368,2544,2700,3128
"예술, 스포츠 및 여가관련 서비스업(90~91)",20 - 49명,744,758,781,852,920,1003,1032,1139,1152,1233,1197,1241,1386,1456,1260,1338,1379,1400
