,"A. 농업, 임업 및 어업 ,광업",C. 제조업,"D. 전기, 가스, 증기 및 공기조절 공급업",F. 건설업,G. 도매 및 소매업,H. 운수 및 창고업,I. 숙박 및 음식점업,J. 정보통신업,K. 금융 및 보험업,L. 부동산업,"M. 전문, 과학 및 기술 서비스업","N. 사업시설 관리, 사업 지원 및 임대 서비스업",P. 교육 서비스업,Q. 보건업 및 사회복지 서비스업,"R. 예술, 스포츠 및 여가관련 서비스업","S. 협회 및 단체, 수리 및 기타 개인 서비스업"
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,0.0008125264494117647,0.00018073074098360654,0.00023502869589041097,4.751447967213114e-05,2.987976032786885e-05,0.00033629806849315067,0.0003849699491803279,0.0005605278475409837,0.0001287276981967213,0.00028244841803278686,1.3010668737704917e-05,9.140430237113403e-05,0.0017861288865979382,0.0005056114474226804,0.001449347443298969,0.0010179355422680412
2011-02-01,0.0016250528988235294,0.0003614614819672131,0.00047005739178082194,9.502895934426229e-05,5.97595206557377e-05,0.0006725961369863013,0.0007699398983606558,0.0011210556950819674,0.0002574553963934426,0.0005648968360655737,2.6021337475409834e-05,0.00018280860474226805,0.0035722577731958764,0.0010112228948453608,0.002898694886597938,0.0020358710845360824
2011-03-01,0.002437579348235294,0.0005421922229508196,0.0007050860876712329,0.00014254343901639344,8.963928098360655e-05,0.001008894205479452,0.0011549098475409838,0.001681583542622951,0.00038618309459016395,0.0008473452540983606,3.9032006213114755e-05,0.0002742129071134021,0.005358386659793815,0.001516834342268041,0.004348042329896907,0.0030538066268041234
2011-04-01,0.0032501057976470587,0.0007229229639344262,0.0009401147835616439,0.00019005791868852457,0.0001195190413114754,0.0013451922739726027,0.0015398797967213116,0.0022421113901639348,0.0005149107927868852,0.0011297936721311474,5.204267495081967e-05,0.0003656172094845361,0.007144515546391753,0.0020224457896907216,0.005797389773195876,0.004071742169072165
2011-05-01,0.004062632247058823,0.0009036537049180327,0.001175143479452055,0.0002375723983606557,0.00014939880163934426,0.0016814903424657533,0.0019248497459016395,0.0028026392377049182,0.0006436384909836065,0.0014122420901639342,6.505334368852458e-05,0.0004570215118556701,0.00893064443298969,0.002528057237113402,0.007246737216494845,0.005089677711340206
2011-06-01,0.004875158696470588,0.0010843844459016393,0.0014101721753424657,0.00028508687803278687,0.0001792785619672131,0.002017788410958904,0.0023098196950819675,0.003363167085245902,0.0007723661891803279,0.0016946905081967212,7.806401242622951e-05,0.0005484258142268042,0.01071677331958763,0.003033668684536082,0.008696084659793815,0.006107613253608247
2011-07-01,0.005687685145882353,0.0012651151868852458,0.0016452008712328767,0.000332601357704918,0.00020915832229508196,0.0023540864794520545,0.0026947896442622954,0.003923694932786886,0.0009010938873770492,0.001977138926229508,9.107468116393442e-05,0.0006398301165979382,0.012502902206185567,0.0035392801319587626,0.010145432103092784,0.007125548795876288
2011-08-01,0.0065002115952941175,0.0014458459278688524,0.0018802295671232878,0.00038011583737704915,0.0002390380826229508,0.0026903845479452054,0.0030797595934426232,0.0044842227803278695,0.0010298215855737705,0.002259587344262295,0.00010408534990163934,0.0007312344189690722,0.014289031092783505,0.004044891579381443,0.011594779546391753,0.00814348433814433
2011-09-01,0.007312738044705882,0.001626576668852459,0.0021152582630136986,0.0004276303170491803,0.00026891784295081963,0.0030266826164383562,0.003464729542622951,0.005044750627868853,0.0011585492837704917,0.002542035762295082,0.00011709601863934425,0.0008226387213402062,0.016075159979381443,0.004550503026804123,0.013044126989690721,0.00916141988041237
2011-10-01,0.008125264494117646,0.0018073074098360654,0.00235028695890411,0.0004751447967213114,0.0002987976032786885,0.0033629806849315067,0.003849699491803279,0.0056052784754098365,0.001287276981967213,0.0028244841803278685,0.00013010668737704916,0.0009140430237113402,0.01786128886597938,0.005056114474226804,0.01449347443298969,0.010179355422680413
2011-11-01,0.008937790943529412,0.001988038150819672,0.0025853156547945206,0.0005226592763934426,0.0003286773636065574,0.003699278753424657,0.004234669440983607,0.006165806322950821,0.0014160046801639343,0.0031069325983606555,0.0001431173561147541,0.0010054473260824742,0.01964741775257732,0.005561725921649484,0.01594282187628866,0.011197290964948453
2011-12-01,0.009750317392941176,0.0021687688918032785,0.0028203443506849314,0.0005701737560655737,0.0003585571239344262,0.004035576821917808,0.004619639390163935,0.006726334170491804,0.0015447323783606558,0.0033893810163934425,0.00015612802485245902,0.0010968516284536084,0.02143354663917526,0.006067337369072164,0.01739216931958763,0.012215226507216494
2012-01-01,0.010562843842352941,0.002349499632786885,0.0030553730465753427,0.0006176882357377049,0.00038843688426229504,0.004371874890410959,0.005004609339344263,0.007286862018032788,0.001673460076557377,0.003671829434426229,0.00016913869359016392,0.0011882559308247424,0.023219675525773198,0.006572948816494845,0.018841516762886597,0.013233162049484536
2012-02-01,0.011375370291764705,0.0025302303737704916,0.0032904017424657535,0.000665202715409836,0.0004183166445901639,0.004708172958904109,0.005389579288524591,0.007847389865573772,0.0018021877747540983,0.003954277852459016,0.00018214936232786885,0.0012796602331958764,0.025005804412371133,0.007078560263917525,0.020290864206185567,0.014251097591752577
2012-03-01,0.012187896741176471,0.002710961114754098,0.0035254304383561647,0.0007127171950819672,0.0004481964049180328,0.00504447102739726,0.005774549237704919,0.008407917713114756,0.0019309154729508196,0.004236726270491803,0.00019516003106557375,0.0013710645355670104,0.026791933298969072,0.007584171711340206,0.021740211649484534,0.015269033134020619
2012-04-01,0.013000423190588235,0.0028916918557377047,0.0037604591342465755,0.0007602316747540983,0.0004780761652459016,0.005380769095890411,0.0061595191868852464,0.008968445560655739,0.002059643171147541,0.00451917468852459,0.00020817069980327867,0.0014624688379381444,0.02857806218556701,0.008089783158762886,0.023189559092783505,0.01628696867628866
2012-05-01,0.013812949639999999,0.0030724225967213113,0.003995487830136987,0.0008077461544262294,0.0005079559255737704,0.005717067164383562,0.006544489136065574,0.009528973408196723,0.002188370869344262,0.004801623106557376,0.0002211813685409836,0.0015538731403092784,0.03036419107216495,0.008595394606185566,0.024638906536082476,0.0173049042185567
2012-06-01,0.014625476089411765,0.003253153337704918,0.004230516526027397,0.0008552606340983606,0.0005378356859016393,0.0060533652328767125,0.006929459085245902,0.010089501255737706,0.0023170985675409835,0.005084071524590164,0.0002341920372786885,0.0016452774426804124,0.032150319958762885,0.009101006053608246,0.026088253979381443,0.01832283976082474
2012-07-01,0.015438002538823528,0.0034338840786885243,0.004465545221917808,0.0009027751137704917,0.0005677154462295082,0.0063896633013698625,0.00731442903442623,0.01065002910327869,0.0024458262657377047,0.00536651994262295,0.00024720270601639343,0.0017366817450515464,0.033936448845360824,0.009606617501030928,0.027537601422680413,0.019340775303092785
