,"A. 농업, 임업 및 어업 ,광업",C. 제조업,"D. 전기, 가스, 증기 및 공기조절 공급업",F. 건설업,G. 도매 및 소매업,H. 운수 및 창고업,I. 숙박 및 음식점업,J. 정보통신업,K. 금융 및 보험업,L. 부동산업,"M. 전문, 과학 및 기술 서비스업","N. 사업시설 관리, 사업 지원 및 임대 서비스업",P. 교육 서비스업,Q. 보건업 및 사회복지 서비스업,"R. 예술, 스포츠 및 여가관련 서비스업","S. 협회 및 단체, 수리 및 기타 개인 서비스업"
2013-10-01,0.027625899279999998,0.0061448451934426225,0.007990975660273974,0.0016154923088524589,0.0010159118511475409,0.011434134328767123,0.013088978272131149,0.019057946816393445,0.004376741738688524,0.009603246213114753,0.0004423627370819672,0.003107746280618557,0.0607283821443299,0.017190789212371133,0.04927781307216495,0.0346098084371134
2013-11-01,0.028438425729411763,0.006325575934426229,0.008226004356164385,0.00166300678852459,0.0010457916114754097,0.011770432397260274,0.013473948221311477,0.01961847466393443,0.004505469436885246,0.00988569463114754,0.0004553734058196721,0.003199150582989691,0.06251451103092784,0.017696400659793814,0.050727160515463915,0.03562774397938144
2013-12-01,0.02925095217882353,0.006506306675409836,0.008461033052054794,0.0017105212681967211,0.0010756713718032785,0.012106730465753425,0.013858918170491804,0.020179002511475412,0.004634197135081967,0.010168143049180327,0.000468384074557377,0.003290554885360825,0.06430063991752577,0.018202012107216493,0.052176507958762885,0.03664567952164948
2014-01-01,0.030063478628235295,0.006687037416393442,0.008696061747945205,0.0017580357478688524,0.0011055511321311476,0.012443028534246574,0.014243888119672133,0.020739530359016396,0.004762924833278688,0.010450591467213114,0.00048139474329508196,0.003381959187731959,0.06608676880412372,0.018707623554639174,0.053625855402061856,0.03766361506391752
2014-02-01,0.030876005077647057,0.006867768157377049,0.008931090443835617,0.0018055502275409834,0.0011354308924590164,0.012779326602739725,0.01462885806885246,0.02130005820655738,0.0048916525314754095,0.0107330398852459,0.0004944054120327869,0.003473363490103093,0.06787289769072165,0.019213235002061856,0.05507520284536083,0.03868155060618557
2014-03-01,0.031688531527058826,0.007048498898360655,0.009166119139726028,0.0018530647072131146,0.0011653106527868852,0.013115624671232876,0.015013828018032789,0.021860586054098363,0.005020380229672131,0.011015488303278687,0.0005074160807704918,0.003564767792474227,0.0696590265773196,0.019718846449484535,0.05652455028865979,0.03969948614845361
2014-04-01,0.032501057976470585,0.007229229639344262,0.00940114783561644,0.0019005791868852457,0.001195190413114754,0.013451922739726027,0.015398797967213116,0.022421113901639346,0.005149107927868852,0.011297936721311474,0.0005204267495081967,0.003656172094845361,0.07144515546391753,0.020224457896907216,0.05797389773195876,0.04071742169072165
2014-05-01,0.03331358442588235,0.007409960380327868,0.00963617653150685,0.001948093666557377,0.0012250701734426229,0.013788220808219178,0.015783767916393444,0.022981641749180333,0.005277835626065573,0.01158038513934426,0.0005334374182459016,0.0037475763972164952,0.07323128435051547,0.020730069344329895,0.05942324517525773,0.04173535723298969
2014-06-01,0.034126110875294116,0.007590691121311475,0.00987120522739726,0.001995608146229508,0.0012549499337704917,0.014124518876712329,0.01616873786557377,0.023542169596721316,0.005406563324262295,0.011862833557377049,0.0005464480869836066,0.0038389806995876292,0.0750174132371134,0.021235680791752577,0.0608725926185567,0.04275329277525773
2014-07-01,0.03493863732470588,0.007771421862295081,0.010106233923287671,0.002043122625901639,0.0012848296940983605,0.01446081694520548,0.0165537078147541,0.0241026974442623,0.005535291022459016,0.012145281975409835,0.0005594587557213115,0.003930385001958763,0.07680354212371134,0.02174129223917526,0.06232194006185567,0.04377122831752577
2014-08-01,0.03575116377411765,0.007952152603278688,0.010341262619178082,0.0020906371055737704,0.0013147094544262296,0.014797115013698629,0.01693867776393443,0.024663225291803283,0.005664018720655737,0.012427730393442622,0.0005724694244590164,0.004021789304329897,0.07858967101030928,0.022246903686597937,0.06377128750515464,0.04478916385979381
2014-09-01,0.03656369022352941,0.008132883344262294,0.010576291315068494,0.0021381515852459012,0.0013445892147540984,0.01513341308219178,0.017323647713114756,0.025223753139344267,0.0057927464188524585,0.012710178811475408,0.0005854800931967213,0.004113193606701031,0.08037579989690721,0.02275251513402062,0.0652206349484536,0.04580709940206185
2014-10-01,0.03737621667294118,0.008313614085245901,0.010811320010958905,0.0021856660649180325,0.0013744689750819672,0.01546971115068493,0.017708617662295083,0.02578428098688525,0.00592147411704918,0.012992627229508195,0.0005984907619344262,0.004204597909072165,0.08216192878350516,0.023258126581443297,0.06666998239175258,0.046825034944329894
2014-11-01,0.03818874312235294,0.008494344826229508,0.011046348706849316,0.0022331805445901637,0.001404348735409836,0.01580600921917808,0.01809358761147541,0.026344808834426234,0.006050201815245901,0.013275075647540982,0.0006115014306721311,0.004296002211443299,0.08394805767010309,0.02376373802886598,0.06811932983505155,0.047842970486597934
2014-12-01,0.0390012695717647,0.008675075567213114,0.011281377402739726,0.002280695024262295,0.0014342284957377049,0.016142307287671232,0.01847855756065574,0.026905336681967217,0.006178929513442623,0.01355752406557377,0.0006245120994098361,0.004387406513814434,0.08573418655670104,0.024269349476288657,0.06956867727835052,0.048860906028865975
2015-01-01,0.03981379602117647,0.00885580630819672,0.011516406098630137,0.0023282095039344262,0.0014641082560655737,0.016478605356164383,0.018863527509836067,0.0274658645295082,0.0063076572116393444,0.013839972483606557,0.000637522768147541,0.004478810816185568,0.08752031544329897,0.02477496092371134,0.07101802472164949,0.04987884157113402
2015-02-01,0.040626322470588234,0.009036537049180327,0.011751434794520548,0.002375723983606557,0.0014939880163934425,0.016814903424657534,0.019248497459016394,0.028026392377049184,0.006436384909836066,0.014122420901639343,0.0006505334368852459,0.004570215118556702,0.08930644432989691,0.02528057237113402,0.07246737216494846,0.05089677711340206
2015-03-01,0.04143884892,0.009217267790163934,0.01198646349041096,0.0024232384632786883,0.0015238677767213113,0.017151201493150685,0.019633467408196725,0.028586920224590168,0.006565112608032787,0.01440486931967213,0.0006635441056229508,0.004661619420927836,0.09109257321649485,0.0257861838185567,0.07391671960824742,0.0519147126556701
2015-04-01,0.042251375369411766,0.00939799853114754,0.01222149218630137,0.0024707529429508195,0.0015537475370491802,0.017487499561643836,0.02001843735737705,0.02914744807213115,0.006693840306229508,0.014687317737704916,0.0006765547743606557,0.00475302372329897,0.09287870210309279,0.02629179526597938,0.07536606705154639,0.052932648197938144
2015-05-01,0.04306390181882353,0.009578729272131147,0.012456520882191782,0.0025182674226229508,0.0015836272973770492,0.017823797630136987,0.02040340730655738,0.029707975919672135,0.0068225680044262296,0.014969766155737703,0.0006895654430983606,0.004844428025670104,0.09466483098969072,0.02679740671340206,0.07681541449484536,0.053950583740206184
2015-06-01,0.04387642826823529,0.009759460013114753,0.012691549578082193,0.0025657819022950816,0.001613507057704918,0.018160095698630137,0.020788377255737706,0.030268503767213118,0.006951295702622951,0.01525221457377049,0.0007025761118360655,0.004935832328041238,0.09645095987628866,0.02730301816082474,0.07826476193814433,0.054968519282474225
2015-07-01,0.044688954717647056,0.00994019075409836,0.012926578273972603,0.002613296381967213,0.0016433868180327868,0.01849639376712329,0.021173347204918036,0.0308290316147541,0.007080023400819672,0.015534662991803278,0.0007155867805737705,0.005027236630412372,0.0982370887628866,0.027808629608247423,0.0797141093814433,0.055986454824742266
2015-08-01,0.04550148116705882,0.010120921495081966,0.013161606969863014,0.002660810861639344,0.0016732665783606557,0.018832691835616436,0.021558317154098363,0.03138955946229509,0.007208751099016393,0.015817111409836063,0.0007285974493114754,0.005118640932783506,0.10002321764948453,0.0283142410556701,0.08116345682474227,0.057004390367010306
2015-09-01,0.04631400761647059,0.010301652236065573,0.013396635665753425,0.0027083253413114753,0.0017031463386885245,0.019168989904109587,0.02194328710327869,0.03195008730983607,0.007337478797213115,0.01609955982786885,0.0007416081180491803,0.00521004523515464,0.10180934653608248,0.028819852503092783,0.08261280426804124,0.05802232590927835
2015-10-01,0.04712653406588235,0.01048238297704918,0.013631664361643836,0.002755839820983606,0.0017330260990163933,0.019505287972602738,0.022328257052459017,0.032510615157377055,0.007466206495409836,0.01638200824590164,0.0007546187867868852,0.005301449537525774,0.10359547542268041,0.02932546395051546,0.08406215171134021,0.05904026145154639
2015-11-01,0.04793906051529412,0.010663113718032786,0.013866693057534248,0.0028033543006557374,0.0017629058593442621,0.01984158604109589,0.022713227001639347,0.033071143004918035,0.007594934193606557,0.016664456663934426,0.0007676294555245901,0.005392853839896908,0.10538160430927836,0.029831075397938143,0.08551149915463918,0.060058196993814435
2015-12-01,0.048751586964705884,0.010843844459016393,0.014101721753424659,0.0028508687803278686,0.0017927856196721312,0.02017788410958904,0.023098196950819674,0.03363167085245902,0.0077236618918032785,0.016946905081967212,0.000780640124262295,0.005484258142268042,0.10716773319587629,0.030336686845360825,0.08696084659793814,0.061076132536082475
2016-01-01,0.04956411341411764,0.0110245752,0.014336750449315068,0.00289838326,0.00182266538,0.02051418217808219,0.0234831669,0.0341921987,0.00785238959,0.0172293535,0.000793650793,0.005575662444639176,0.10895386208247423,0.030842298292783503,0.08841019404123711,0.062094068078350516
2016-02-01,0.05037663986352941,0.011099952849999999,0.01457177914520548,0.0038438914216666667,0.003414121323333333,0.02085048024657534,0.028118236283333334,0.04082669780833333,0.008445154524166667,0.020328151583333332,0.0028609970269166665,0.00566706674701031,0.11073999096907217,0.03134790974020618,0.08985954148453608,0.06311200362061856
2016-03-01,0.051189166312941174,0.011175330499999999,0.01480680784109589,0.004789399583333334,0.005005577266666667,0.021186778315068492,0.03275330566666666,0.04746119691666667,0.009037919458333333,0.023426949666666665,0.004928343260833333,0.005758471049381444,0.11252611985567011,0.031853521187628867,0.09130888892783505,0.06412993916288659
2016-04-01,0.05200169276235294,0.01125070815,0.015041836536986302,0.005734907745,0.0065970332100000004,0.021523076383561643,0.03738837505,0.054095696025,0.0096306843925,0.02652574775,0.00699568949475,0.005849875351752578,0.11431224874226804,0.032359132635051545,0.09275823637113402,0.06514787470515464
2016-05-01,0.052814219211764706,0.0113260858,0.015276865232876713,0.006680415906666667,0.008188489153333334,0.021859374452054794,0.042023444433333335,0.06073019513333333,0.010223449326666667,0.02962454583333333,0.009063035728666667,0.005941279654123712,0.11609837762886598,0.03286474408247422,0.09420758381443299,0.06616581024742269
2016-06-01,0.05362674566117647,0.01140146345,0.015511893928767125,0.007625924068333334,0.009779945096666666,0.022195672520547945,0.046658513816666664,0.06736469424166666,0.010816214260833333,0.03272334391666666,0.011130381962583334,0.006032683956494846,0.11788450651546392,0.03337035552989691,0.09565693125773196,0.06718374578969072
2016-07-01,0.05443927211058824,0.0114768411,0.015746922624657534,0.00857143223,0.01137140104,0.022531970589041096,0.05129358319999999,0.07399919334999999,0.011408979195,0.035822142,0.013197728196500001,0.00612408825886598,0.11967063540206185,0.03387596697731959,0.09710627870103093,0.06820168133195877
2016-08-01,0.055251798559999996,0.011552218749999999,0.015981951320547947,0.009516940391666668,0.012962856983333333,0.022868268657534246,0.055928652583333335,0.08063369245833334,0.012001744129166667,0.03892094008333333,0.015265074430416668,0.006215492561237114,0.1214567642886598,0.034381578424742265,0.0985556261443299,0.0692196168742268
