keco,ksco,2008.1/2,2008.1/2.1,2008.1/2.2,2008.2/2,2008.2/2.1,2008.2/2.2,2009.1/2,2009.1/2.1,2009.1/2.2,2009.2/2,2009.2/2.1,2009.2/2.2,2010.1/2,2010.1/2.1,2010.1/2.2,2010.2/2,2010.2/2.1,2010.2/2.2,2011.1/2,2011.1/2.1,2011.1/2.2,2011.2/2,2011.2/2.1,2011.2/2.2,2012.1/2,2012.1/2.1,2012.1/2.2,2012.2/2,2012.2/2.1,2012.2/2.2,2013.1/2,2013.1/2.1,2013.1/2.2,2013.2/2,2013.2/2.1,2013.2/2.2,2014.1/2,2014.1/2.1,2014.1/2.2,2014.2/2,2014.2/2.1,2014.2/2.2,2015.1/2,2015.1/2.1,2015.1/2.2,2015.2/2,2015.2/2.1,2015.2/2.2,2016.1/2,2016.1/2.1,2016.1/2.2,2016.2/2,2016.2/2.1,2016.2/2.2,2017.1/2,2017.1/2.1,2017.1/2.2,2017.2/2,2017.2/2.1,2017.2/2.2,2018.1/2,2018.1/2.1,2018.1/2.2,2018.2/2,2018.2/2.1,2018.2/2.2,2019.1/2,2019.1/2.1,2019.1/2.2,2019.2/2,2019.2/2.1,2019.2/2.2,2020.1/2,2020.1/2.1,2020.1/2.2,2020.2/2,2020.2/2.1,2020.2/2.2,2021.1/2,2021.1/2.1,2021.1/2.2,2021.2/2,2021.2/2.1,2021.2/2.2,2022.1/2,2022.1/2.1,2022.1/2.2,2022.2/2,2022.2/2.1,2022.2/2.2,2023.1/2,2023.1/2.1,2023.1/2.2,2023.2/2,2023.2/2.1,2023.2/2.2,2024.1/2,2024.1/2.1,2024.1/2.2
,식별값,현원,구인인원,채용인원,현원,구인인원,채용인원,현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명)
,총원,7768188,625301,511602,7959995,442562,349357,8048203,424897,348387,8128516,465248,383229,8931370,662167,541637,9196034,610216,494828,9503816,636002,511805,9715637,649951,513402,9805150,626685,532061,9884455,660219,554625,10050640,689241,590718,10256347,664337,569628,10432264,754985,661726,10678424,698742,612395,10967146,785318,705943,11326946,715119,624539,11481327,854766,758065,11657993,741122,645840,11684473,855762,761886,11803864,724964,639912,11984990,845775,755574,12192880,756130,672219,12247216,810487,733478,12429758,687724,611815,12452413,798171,738176,12515581,631476,564288,12684179,819699,734381,13067272,870365,758596,13161419,1014867,877099,13385094,941947,788685,13459274,1053771,916879,13589901,891555,779142,13647444,1046630,950730
122,213,4452,365,351,4761,234,214,9115,698,682,6745,347,343,7072,739,723,8543,508,473,4081,217,210,6512,360,216,7289,491,412,8980,615,592,13957,626,598,13689,451,422,10306,457,346,9910,508,481,10844,1037,919,10220,641,555,10025,858,816,10714,478,465,8605,880,761,10858,1448,1366,12129,1352,1203,14280,1783,1725,15257,1847,1507,15847,1905,1829,28089,2104,1953,27938,1514,1425,29238,2581,2445,30978,2849,2362,33270,2945,2663,36379,3104,2567,36784,2697,2209,42111,2674,2248,53046,3599,3172
212,252,78255,5947,5893,102811,1815,1972,77816,5708,5536,85715,2906,2885,89345,6767,6734,94080,1794,1794,103574,10611,10465,96256,1852,1820,88790,6333,6252,92264,2025,1974,101580,8171,8162,94785,2467,2395,94445,8967,8947,97013,3406,3203,91064,10329,10320,95133,2819,2805,88672,9907,9893,91009,1969,1944,85699,8010,7954,88700,2332,2325,85095,9120,9075,83233,2566,2525,84372,10241,10222,94729,2878,2841,87758,11201,11040,93919,2240,2197,92753,12160,12036,91037,2623,2584,88266,13396,13254,88273,2877,2712,87985,13186,13077,82895,2140,2044,81521,13127,13080
212,259,78255,5947,5893,102811,1815,1972,77816,5708,5536,85715,2906,2885,89345,6767,6734,94080,1794,1794,103574,10611,10465,96256,1852,1820,88790,6333,6252,92264,2025,1974,101580,8171,8162,94785,2467,2395,94445,8967,8947,97013,3406,3203,91064,10329,10320,95133,2819,2805,88672,9907,9893,91009,1969,1944,85699,8010,7954,88700,2332,2325,85095,9120,9075,83233,2566,2525,84372,10241,10222,94729,2878,2841,87758,11201,11040,93919,2240,2197,92753,12160,12036,91037,2623,2584,88266,13396,13254,88273,2877,2712,87985,13186,13077,82895,2140,2044,81521,13127,13080
215,259,78255,5947,5893,102811,1815,1972,77816,5708,5536,85715,2906,2885,89345,6767,6734,94080,1794,1794,103574,10611,10465,96256,1852,1820,88790,6333,6252,92264,2025,1974,101580,8171,8162,94785,2467,2395,94445,8967,8947,97013,3406,3203,91064,10329,10320,95133,2819,2805,88672,9907,9893,91009,1969,1944,85699,8010,7954,88700,2332,2325,85095,9120,9075,83233,2566,2525,84372,10241,10222,94729,2878,2841,41359,7334,7171,51645,3431,3354,56031,9544,9297,62153,6123,6048,58798,11275,10649,66226,5971,5737,68366,12696,12492,74005,6010,5841,81029,14614,14477
215,421,78255,5947,5893,102811,1815,1972,77816,5708,5536,85715,2906,2885,89345,6767,6734,94080,1794,1794,103574,10611,10465,96256,1852,1820,88790,6333,6252,92264,2025,1974,101580,8171,8162,94785,2467,2395,94445,8967,8947,97013,3406,3203,91064,10329,10320,95133,2819,2805,88672,9907,9893,91009,1969,1944,85699,8010,7954,88700,2332,2325,85095,9120,9075,83233,2566,2525,84372,10241,10222,94729,2878,2841,41359,7334,7171,51645,3431,3354,56031,9544,9297,62153,6123,6048,58798,11275,10649,66226,5971,5737,68366,12696,12492,74005,6010,5841,81029,14614,14477
213,253,23074,5001,4894,27744,599,467,24168,4001,3979,29311,472,472,28739,4454,4254,26241,681,575,29936,3789,3748,34611,663,630,27374,4330,4256,30287,555,504,31469,5226,5165,31475,579,530,31954,7382,7338,30487,557,526,32463,6182,6064,34000,940,925,45577,9313,9313,44841,731,710,45523,8864,8595,47156,583,583,51223,8018,7980,50835,668,653,47122,8886,8838,44201,489,416,44121,7417,7405,49389,616,603,50710,8429,8341,48205,507,452,45089,8432,8396,45302,610,588,44099,8015,7987,39586,336,336,35183,6776,6755
214,254,99656,13255,11761,107186,7586,6072,104548,9463,8429,113138,6620,5470,110298,10758,9644,112919,8818,7533,119761,9686,8858,109056,6188,4969,111813,7667,7152,109293,6204,5496,114709,9778,8979,111954,6497,6044,120906,11519,10523,128746,7061,5808,134308,12562,11869,129565,8100,7016,109760,12061,11783,108949,4787,4176,107743,9001,8525,107688,4786,4360,120791,9789,9241,126018,5787,5271,126323,10472,10059,133165,7184,6293,114137,8770,8285,113879,5588,5234,122702,11023,10451,123257,7523,7306,122956,9836,9058,124748,6036,5509,123812,11985,11494,132987,6723,6158,138685,15589,15168
221,261,5402,171,169,4374,147,146,6752,149,140,6957,654,639,8212,518,512,8697,204,171,10446,306,290,9850,302,225,11259,732,683,11661,151,107,10819,640,493,12031,292,287,13326,787,728,14127,574,490,15526,467,457,16591,495,421,13865,559,542,14653,618,614,15684,532,456,15695,435,363,15396,544,447,17022,483,471,17067,619,602,18226,512,478,17926,665,649,17376,367,352,18765,657,639,19792,610,497,21272,1210,1060,21667,739,620,22125,1033,930,24307,1094,944,26402,1091,1038
222,330,14440,649,592,16662,462,322,16019,716,655,18211,608,602,22337,1083,977,24489,632,552,23633,981,908,22941,660,518,23802,1067,995,24087,680,621,20830,1184,1098,24493,994,866,24476,1545,1496,25954,1289,1289,28075,1035,980,26810,1389,1377,24797,1100,989,25541,1221,1212,27591,1364,1320,26024,1066,1028,27135,889,870,30164,767,740,29558,868,844,30284,1017,912,26576,1146,1116,28374,739,697,31945,1333,1185,33448,1326,1109,34389,1576,1421,35210,1461,1208,36832,1735,1530,36739,1488,1445,37522,1310,1185
240,411,71,0,0,146,0,0,156,1,1,185,0,0,77,0,0,99,0,0,25,0,0,19,0,0,23,0,0,25,0,0,713,0,0,37,2,1,768,34,34,444,17,17,65,0,0,101,0,0,100,0,0,108,0,0,96,0,0,150,0,0,154,0,0,277,1,1,247,58,58,233,0,0,349,0,0,621,175,175,568,0,0,630,16,12,715,0,0,693,0,0,824,30,30,789,7,7,835,4,3
301,241,46885,6766,6325,47941,1081,924,47499,5364,5076,46256,941,783,56246,7627,7146,55788,1262,1069,57375,5542,5118,57517,1467,1196,58761,5979,5562,63595,1996,1659,65686,6876,6513,64593,2252,1894,63716,6973,6629,65314,1660,1560,67374,7290,7053,69973,1782,1685,71275,8023,7751,71935,2357,2168,70925,8957,8594,72732,2249,2035,76074,8758,8190,77044,2749,2364,78325,9294,8497,79315,2897,2227,78519,9698,8837,81502,2808,2370,80456,8575,7890,81725,2801,2396,84739,9842,9072,85620,3805,2919,86196,10518,9453,84630,3138,2295,83366,8652,7463
302,241,298,17,17,513,0,0,324,31,31,485,47,47,205,10,9,276,4,4,294,47,41,267,9,7,444,38,31,484,8,8,694,20,20,824,15,15,803,44,12,762,8,5,854,17,17,779,8,8,879,30,30,1023,6,6,1218,202,202,1208,81,81,1397,33,33,1290,11,11,1588,326,236,1190,30,29,2551,202,199,2623,259,259,2877,387,353,3398,187,150,3204,180,180,3149,83,79,3508,138,138,3999,94,93,4056,231,218
303,242,7565,1056,955,7857,332,285,7978,611,561,8242,455,414,9536,1006,780,9602,717,558,11235,1055,898,11870,764,616,12417,873,760,14067,776,647,11931,920,808,13108,945,795,12488,865,746,12422,646,460,13421,897,837,13671,651,579,12904,1335,1254,13147,769,636,14003,1092,984,14322,544,449,15270,1449,1319,16325,549,428,16521,1275,1101,16277,682,512,16348,1388,1268,16246,665,605,16535,1028,979,17465,707,664,18093,1135,1089,17917,780,636,18906,1498,1399,18985,963,695,18663,1651,1439
