keco,ksco,2008.1/2,2008.1/2.1,2008.1/2.2,2008.2/2,2008.2/2.1,2008.2/2.2,2009.1/2,2009.1/2.1,2009.1/2.2,2009.2/2,2009.2/2.1,2009.2/2.2,2010.1/2,2010.1/2.1,2010.1/2.2,2010.2/2,2010.2/2.1,2010.2/2.2,2011.1/2,2011.1/2.1,2011.1/2.2,2011.2/2,2011.2/2.1,2011.2/2.2,2012.1/2,2012.1/2.1,2012.1/2.2,2012.2/2,2012.2/2.1,2012.2/2.2,2013.1/2,2013.1/2.1,2013.1/2.2,2013.2/2,2013.2/2.1,2013.2/2.2,2014.1/2,2014.1/2.1,2014.1/2.2,2014.2/2,2014.2/2.1,2014.2/2.2,2015.1/2,2015.1/2.1,2015.1/2.2,2015.2/2,2015.2/2.1,2015.2/2.2,2016.1/2,2016.1/2.1,2016.1/2.2,2016.2/2,2016.2/2.1,2016.2/2.2,2017.1/2,2017.1/2.1,2017.1/2.2,2017.2/2,2017.2/2.1,2017.2/2.2,2018.1/2,2018.1/2.1,2018.1/2.2,2018.2/2,2018.2/2.1,2018.2/2.2,2019.1/2,2019.1/2.1,2019.1/2.2,2019.2/2,2019.2/2.1,2019.2/2.2,2020.1/2,2020.1/2.1,2020.1/2.2,2020.2/2,2020.2/2.1,2020.2/2.2,2021.1/2,2021.1/2.1,2021.1/2.2,2021.2/2,2021.2/2.1,2021.2/2.2,2022.1/2,2022.1/2.1,2022.1/2.2,2022.2/2,2022.2/2.1,2022.2/2.2,2023.1/2,2023.1/2.1,2023.1/2.2,2023.2/2,2023.2/2.1,2023.2/2.2,2024.1/2,2024.1/2.1,2024.1/2.2
,식별값,현원,구인인원,채용인원,현원,구인인원,채용인원,현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명),현원 (명),구인인원 (명),채용인원 (명)
,총원,7768188,625301,511602,7959995,442562,349357,8048203,424897,348387,8128516,465248,383229,8931370,662167,541637,9196034,610216,494828,9503816,636002,511805,9715637,649951,513402,9805150,626685,532061,9884455,660219,554625,10050640,689241,590718,10256347,664337,569628,10432264,754985,661726,10678424,698742,612395,10967146,785318,705943,11326946,715119,624539,11481327,854766,758065,11657993,741122,645840,11684473,855762,761886,11803864,724964,639912,11984990,845775,755574,12192880,756130,672219,12247216,810487,733478,12429758,687724,611815,12452413,798171,738176,12515581,631476,564288,12684179,819699,734381,13067272,870365,758596,13161419,1014867,877099,13385094,941947,788685,13459274,1053771,916879,13589901,891555,779142,13647444,1046630,950730
307,421,75627,8126,7461,77940,7357,6714,97731,8556,7453,105076,9832,8508,141434,15530,13969,144592,13985,11371,174497,15429,12792,173411,14873,12089,183233,16286,14150,183570,18696,16255,223413,21827,19510,243543,20561,18064,249186,23422,21868,249952,21343,19434,263157,22718,21198,259975,22564,19791,307540,32681,29916,313038,26568,23711,320784,30026,27819,329232,29576,26991,346414,32619,30148,357377,31824,29339,374062,34006,32132,387984,31247,29580,212625,17467,16321,221836,23998,22766,224377,16448,15155,232659,16516,15242,239473,21090,19233,242140,18900,16683,251006,20129,18451,246874,18643,17164,246296,20544,18936
550,421,75627,8126,7461,77940,7357,6714,97731,8556,7453,105076,9832,8508,141434,15530,13969,144592,13985,11371,174497,15429,12792,173411,14873,12089,183233,16286,14150,183570,18696,16255,223413,21827,19510,243543,20561,18064,249186,23422,21868,249952,21343,19434,263157,22718,21198,259975,22564,19791,307540,32681,29916,313038,26568,23711,320784,30026,27819,329232,29576,26991,346414,32619,30148,357377,31824,29339,374062,34006,32132,387984,31247,29580,295974,28414,27811,303255,24239,23047,321156,26783,26081,323497,29515,28304,332803,31315,29517,341865,30366,28096,345246,34634,32231,408659,41714,39160,407559,43623,41705
550,951,75627,8126,7461,77940,7357,6714,97731,8556,7453,105076,9832,8508,141434,15530,13969,144592,13985,11371,174497,15429,12792,173411,14873,12089,183233,16286,14150,183570,18696,16255,223413,21827,19510,243543,20561,18064,249186,23422,21868,249952,21343,19434,263157,22718,21198,259975,22564,19791,307540,32681,29916,313038,26568,23711,320784,30026,27819,329232,29576,26991,346414,32619,30148,357377,31824,29339,374062,34006,32132,387984,31247,29580,295974,28414,27811,303255,24239,23047,321156,26783,26081,323497,29515,28304,332803,31315,29517,341865,30366,28096,345246,34634,32231,408659,41714,39160,407559,43623,41705
29,392,21567,1814,1677,23646,1277,1223,33566,3015,2522,36359,1742,1598,37488,4045,3654,39612,2934,2724,39073,4057,3746,43645,2647,2159,39002,3423,3130,45655,3022,2775,51616,4753,4595,56443,3157,2764,59098,6272,5928,63817,4311,3936,68440,7457,7078,72767,4622,3757,70905,8450,8078,77242,4376,4070,79516,9586,9225,82750,6143,5902,87748,9995,9478,91103,5917,5309,93570,9065,8721,98381,6310,5812,377701,32912,31204,384364,30755,28855,375816,33182,31421,383631,37110,34109,382478,43190,39888,394404,42406,37929,388701,43185,39752,408683,34481,31446,395819,41417,38293
29,399,21567,1814,1677,23646,1277,1223,33566,3015,2522,36359,1742,1598,37488,4045,3654,39612,2934,2724,39073,4057,3746,43645,2647,2159,39002,3423,3130,45655,3022,2775,51616,4753,4595,56443,3157,2764,59098,6272,5928,63817,4311,3936,68440,7457,7078,72767,4622,3757,70905,8450,8078,77242,4376,4070,79516,9586,9225,82750,6143,5902,87748,9995,9478,91103,5917,5309,93570,9065,8721,98381,6310,5812,377701,32912,31204,384364,30755,28855,375816,33182,31421,383631,37110,34109,382478,43190,39888,394404,42406,37929,388701,43185,39752,408683,34481,31446,395819,41417,38293
29,391,21567,1814,1677,23646,1277,1223,33566,3015,2522,36359,1742,1598,37488,4045,3654,39612,2934,2724,39073,4057,3746,43645,2647,2159,39002,3423,3130,45655,3022,2775,51616,4753,4595,56443,3157,2764,59098,6272,5928,63817,4311,3936,68440,7457,7078,72767,4622,3757,70905,8450,8078,77242,4376,4070,79516,9586,9225,82750,6143,5902,87748,9995,9478,91103,5917,5309,93570,9065,8721,98381,6310,5812,377701,32912,31204,384364,30755,28855,375816,33182,31421,383631,37110,34109,382478,43190,39888,394404,42406,37929,388701,43185,39752,408683,34481,31446,395819,41417,38293
29,314,21567,1814,1677,23646,1277,1223,33566,3015,2522,36359,1742,1598,37488,4045,3654,39612,2934,2724,39073,4057,3746,43645,2647,2159,39002,3423,3130,45655,3022,2775,51616,4753,4595,56443,3157,2764,59098,6272,5928,63817,4311,3936,68440,7457,7078,72767,4622,3757,70905,8450,8078,77242,4376,4070,79516,9586,9225,82750,6143,5902,87748,9995,9478,91103,5917,5309,93570,9065,8721,98381,6310,5812,377701,32912,31204,384364,30755,28855,375816,33182,31421,383631,37110,34109,382478,43190,39888,394404,42406,37929,388701,43185,39752,408683,34481,31446,395819,41417,38293
231,247,21567,1814,1677,23646,1277,1223,33566,3015,2522,36359,1742,1598,37488,4045,3654,39612,2934,2724,39073,4057,3746,43645,2647,2159,39002,3423,3130,45655,3022,2775,51616,4753,4595,56443,3157,2764,59098,6272,5928,63817,4311,3936,68440,7457,7078,72767,4622,3757,70905,8450,8078,77242,4376,4070,79516,9586,9225,82750,6143,5902,87748,9995,9478,91103,5917,5309,93570,9065,8721,98381,6310,5812,84901,8074,7642,96622,5280,4823,111212,9835,9318,117736,10179,8737,121166,10991,9886,125384,8574,7282,126767,13038,11591,118907,7759,6430,116745,10998,9863
232,247,78530,15938,15522,84602,5690,5453,89475,13725,13005,92816,5412,4639,107013,18692,17705,118628,7226,6119,145143,17636,17155,142933,6462,5566,140385,17895,17539,143541,8932,8011,152186,22186,21400,161680,8774,8227,169071,27596,27046,183956,10563,9535,178064,30655,30183,191501,13678,12651,209065,35142,34732,222417,12526,11401,233910,35077,34641,260737,14489,13955,279737,40040,37913,296302,18326,17760,299404,42317,41701,333739,16733,15907,242756,40099,37920,277282,13940,13528,275083,33757,33381,305142,21248,19807,285588,36217,34932,290259,17280,15733,288003,40468,38801,282055,16084,15346,270881,30602,29854
550,421,78530,15938,15522,84602,5690,5453,89475,13725,13005,92816,5412,4639,107013,18692,17705,118628,7226,6119,145143,17636,17155,142933,6462,5566,140385,17895,17539,143541,8932,8011,152186,22186,21400,161680,8774,8227,169071,27596,27046,183956,10563,9535,178064,30655,30183,191501,13678,12651,209065,35142,34732,222417,12526,11401,233910,35077,34641,260737,14489,13955,279737,40040,37913,296302,18326,17760,299404,42317,41701,333739,16733,15907,295974,28414,27811,303255,24239,23047,321156,26783,26081,323497,29515,28304,332803,31315,29517,341865,30366,28096,345246,34634,32231,408659,41714,39160,407559,43623,41705
550,951,78530,15938,15522,84602,5690,5453,89475,13725,13005,92816,5412,4639,107013,18692,17705,118628,7226,6119,145143,17636,17155,142933,6462,5566,140385,17895,17539,143541,8932,8011,152186,22186,21400,161680,8774,8227,169071,27596,27046,183956,10563,9535,178064,30655,30183,191501,13678,12651,209065,35142,34732,222417,12526,11401,233910,35077,34641,260737,14489,13955,279737,40040,37913,296302,18326,17760,299404,42317,41701,333739,16733,15907,295974,28414,27811,303255,24239,23047,321156,26783,26081,323497,29515,28304,332803,31315,29517,341865,30366,28096,345246,34634,32231,408659,41714,39160,407559,43623,41705
233,248,20527,208,205,19199,86,65,26199,80,80,26099,731,23,22234,391,366,19925,281,252,20991,302,270,21813,178,178,20462,328,328,20240,280,280,18605,206,206,19926,31,31,20595,507,507,20934,168,168,20363,762,760,19136,98,74,21250,553,553,21914,251,251,21538,481,471,21902,187,186,24811,514,504,25352,357,357,26228,1000,1000,25508,223,189,22894,577,558,22169,52,52,24211,637,626,24077,121,95,22931,582,570,23287,188,120,24238,323,305,22885,197,172,23340,744,721
411,281,7123,826,764,9797,396,350,11572,733,721,7407,380,342,11178,645,611,11677,635,568,11047,674,636,12509,432,414,10810,665,542,11792,984,875,7139,345,318,8704,378,325,10202,566,455,11257,441,409,11787,638,568,12475,874,821,12262,1506,1486,14084,446,439,13729,930,834,14900,833,810,15300,1041,924,15095,470,462,15598,624,564,16477,1216,1001,11933,693,593,11488,558,544,13568,831,722,14357,998,705,14943,1391,998,15171,1193,926,16716,965,727,18293,1047,792,19815,1535,1371
413,282,4130,344,330,4780,104,113,4816,241,238,4740,123,117,5804,209,202,5209,117,110,4029,520,526,4959,213,202,4900,221,221,5257,118,116,5442,194,194,6523,350,321,6151,295,288,6378,223,216,5879,305,287,5657,300,280,7052,456,409,7432,196,179,8624,444,437,8672,316,289,8501,605,581,8891,591,568,9343,606,584,9027,336,286,8580,866,803,8844,558,470,8749,545,536,8480,493,467,9121,777,674,9261,351,341,9989,935,902,8107,278,250,8026,555,475
412,281,14529,386,344,12795,296,262,16619,242,218,16879,422,384,13300,782,652,12702,415,340,18049,1155,616,19782,1292,1118,21205,738,672,23804,649,624,17355,614,519,17586,444,392,18848,690,642,18892,1094,735,19141,988,912,22528,1137,1093,18418,627,546,19221,721,625,19706,893,876,20873,603,508,21218,1093,920,22511,657,614,24010,1003,824,23061,563,494,21507,685,671,22614,564,482,21698,739,701,24309,824,799,25082,1603,1412,25261,1074,837,25766,1713,1389,17592,504,416,18672,580,536
414,284,7643,118,114,5239,499,442,4350,225,210,5045,308,266,5113,595,541,6089,199,116,5229,369,264,6182,531,373,5576,636,565,5147,43,26,6952,398,396,6189,129,112,5574,822,822,9439,314,314,6637,277,203,6152,195,48,7087,526,482,6607,136,136,6035,513,456,7058,285,277,5607,395,395,5838,234,234,6529,184,184,6764,184,184,5311,192,165,5774,372,234,9850,536,350,11968,595,543,11332,743,698,11993,360,350,11450,277,233,7701,371,351,8157,917,816
159,239,85013,13992,9151,95841,11160,6741,76991,5197,3436,79811,5713,4440,92619,8726,7148,106202,8643,6151,95734,7976,6003,94538,8339,6140,103093,8412,6744,106847,7695,6358,101269,8682,6215,98171,7686,6249,108439,7591,6601,111967,7630,6547,117332,8267,7188,116340,7162,6237,116142,10939,8933,128873,10117,7410,131659,12132,10777,131402,9843,8525,127345,9644,8126,135672,9116,7946,133687,10294,8190,135878,9690,8109,35868,1999,1447,35792,1641,1387,33982,2612,2099,35005,1970,1565,36232,2360,1876,36134,2232,1598,35179,1953,1457,30533,2318,1822,31769,1987,1440
415,285,85013,13992,9151,95841,11160,6741,76991,5197,3436,79811,5713,4440,92619,8726,7148,106202,8643,6151,95734,7976,6003,94538,8339,6140,103093,8412,6744,106847,7695,6358,101269,8682,6215,98171,7686,6249,108439,7591,6601,111967,7630,6547,117332,8267,7188,116340,7162,6237,116142,10939,8933,128873,10117,7410,131659,12132,10777,131402,9843,8525,127345,9644,8126,135672,9116,7946,133687,10294,8190,135878,9690,8109,94689,7780,7022,93834,4879,4271,102388,7748,6520,104989,8041,6435,107829,8577,7130,108332,8212,6310,110253,8095,6421,114437,8596,6862,117123,8440,7502
416,283,6116,214,200,7233,153,161,8583,402,390,7224,238,167,9324,453,365,9143,164,162,7555,217,171,8306,454,382,8333,394,295,8154,180,171,9738,676,676,11801,302,297,11871,522,520,9813,366,350,10153,719,670,12194,499,453,12480,950,646,11777,376,361,13290,602,528,14313,723,616,14275,773,730,15267,745,708,15277,621,587,15311,742,647,31982,1252,1188,29908,1613,1420,34433,3116,2881,39016,2585,2189,37667,2714,2532,38988,2610,2244,36777,3064,2661,35547,1793,1669,44469,3256,3151
416,283,13772,975,907,9697,566,457,12183,478,393,12038,626,606,15431,1309,882,14574,1406,1041,16460,978,795,14336,985,821,19427,2250,1565,22530,2358,1753,18268,808,807,21881,746,697,29558,974,939,32065,5519,5502,33208,3788,3735,30375,3298,3211,13683,1292,1184,17344,972,904,17918,1376,1210,19728,895,812,19995,1213,1073,19996,1179,1085,21498,1227,1114,21780,1150,1033,31982,1252,1188,29908,1613,1420,34433,3116,2881,39016,2585,2189,37667,2714,2532,38988,2610,2244,36777,3064,2661,35547,1793,1669,44469,3256,3151
414,284,2281,214,200,800,0,0,1262,40,13,1017,54,54,1676,27,27,2047,75,75,2224,128,128,1830,103,40,1782,103,84,2790,133,99,1412,90,87,1923,9,9,1458,10,10,1079,76,76,1085,343,100,796,320,260,1779,47,47,2200,138,138,1678,78,78,2289,208,196,1428,290,290,1668,43,43,1951,138,137,1794,115,115,5311,192,165,5774,372,234,9850,536,350,11968,595,543,11332,743,698,11993,360,350,11450,277,233,7701,371,351,8157,917,816
417,288,2281,214,200,800,0,0,1262,40,13,1017,54,54,1676,27,27,2047,75,75,2224,128,128,1830,103,40,1782,103,84,2790,133,99,1412,90,87,1923,9,9,1458,10,10,1079,76,76,1085,343,100,796,320,260,1779,47,47,2200,138,138,1678,78,78,2289,208,196,1428,290,290,1668,43,43,1951,138,137,1794,115,115,6017,402,323,7024,450,340,6399,362,272,6568,526,484,8028,711,666,6277,654,548,5776,558,445,7591,608,540,7006,454,386
621,238,10788,907,811,8738,441,457,12553,854,769,7949,304,280,7731,460,460,7547,488,481,10463,403,378,13180,477,432,11837,446,423,12232,935,908,13253,614,545,16171,702,671,14041,539,509,15679,653,622,14859,516,484,15463,676,573,14242,927,861,18055,730,706,18017,888,851,18485,933,901,17554,753,733,18668,844,821,18416,1529,1398,19089,860,858,27724,515,505,28778,478,475,31135,588,575,33163,717,603,32606,456,430,32943,707,627,33931,780,736,26568,555,516,26677,536,488
621,871,10788,907,811,8738,441,457,12553,854,769,7949,304,280,7731,460,460,7547,488,481,10463,403,378,13180,477,432,11837,446,423,12232,935,908,13253,614,545,16171,702,671,14041,539,509,15679,653,622,14859,516,484,15463,676,573,14242,927,861,18055,730,706,18017,888,851,18485,933,901,17554,753,733,18668,844,821,18416,1529,1398,19089,860,858,27724,515,505,28778,478,475,31135,588,575,33163,717,603,32606,456,430,32943,707,627,33931,780,736,26568,555,516,26677,536,488
621,872,10788,907,811,8738,441,457,12553,854,769,7949,304,280,7731,460,460,7547,488,481,10463,403,378,13180,477,432,11837,446,423,12232,935,908,13253,614,545,16171,702,671,14041,539,509,15679,653,622,14859,516,484,15463,676,573,14242,927,861,18055,730,706,18017,888,851,18485,933,901,17554,753,733,18668,844,821,18416,1529,1398,19089,860,858,27724,515,505,28778,478,475,31135,588,575,33163,717,603,32606,456,430,32943,707,627,33931,780,736,26568,555,516,26677,536,488
621,238,10270,49,47,14562,64,67,10525,35,35,9291,11,0,11255,85,40,13134,169,169,11021,58,58,11728,18,4,10444,48,48,9517,42,42,9909,61,57,9734,113,113,11777,89,89,10861,103,103,10613,73,73,12593,24,24,12872,74,74,11961,32,32,11065,25,20,11865,10,10,13894,712,712,12316,76,71,13433,112,105,12354,273,273,27724,515,505,28778,478,475,31135,588,575,33163,717,603,32606,456,430,32943,707,627,33931,780,736,26568,555,516,26677,536,488
621,871,10270,49,47,14562,64,67,10525,35,35,9291,11,0,11255,85,40,13134,169,169,11021,58,58,11728,18,4,10444,48,48,9517,42,42,9909,61,57,9734,113,113,11777,89,89,10861,103,103,10613,73,73,12593,24,24,12872,74,74,11961,32,32,11065,25,20,11865,10,10,13894,712,712,12316,76,71,13433,112,105,12354,273,273,27724,515,505,28778,478,475,31135,588,575,33163,717,603,32606,456,430,32943,707,627,33931,780,736,26568,555,516,26677,536,488
621,872,10270,49,47,14562,64,67,10525,35,35,9291,11,0,11255,85,40,13134,169,169,11021,58,58,11728,18,4,10444,48,48,9517,42,42,9909,61,57,9734,113,113,11777,89,89,10861,103,103,10613,73,73,12593,24,24,12872,74,74,11961,32,32,11065,25,20,11865,10,10,13894,712,712,12316,76,71,13433,112,105,12354,273,273,27724,515,505,28778,478,475,31135,588,575,33163,717,603,32606,456,430,32943,707,627,33931,780,736,26568,555,516,26677,536,488
622,873,322823,39264,24722,334308,31452,18342,345487,28119,16842,347439,27012,17197,377736,35223,22820,370883,33031,21988,386419,31711,20498,369444,34276,19673,390835,34839,22123,397455,37060,23422,377312,33146,21835,385902,35876,22112,385561,36140,22383,389144,39685,24041,415026,38325,23477,443356,45003,25846,420981,40996,27345,434055,36193,23451,437577,39123,25223,434016,37067,23012,443460,38883,25215,450299,42317,24122,453709,42724,25754,459676,41229,21605,416960,32339,20700,423431,31764,17614,413063,34417,17842,419431,40005,18155,419068,42292,19514,419867,44435,18472,418497,49654,24597,389395,35720,20380,397826,41203,24858
623,874,33322,2107,1954,38658,1298,1303,34743,864,678,37817,779,694,49398,1627,1504,51116,1448,1040,38602,1119,929,44583,1280,995,44011,1274,1167,45194,1022,933,45131,1369,1297,45620,1983,1758,47510,1595,1470,52073,1891,1727,51678,1652,1357,51034,1582,1528,60648,2029,1700,65199,3048,2622,64248,2947,2366,63418,2314,1811,65064,2927,2359,65139,2335,1930,69443,2125,1854,70889,2145,1790,69210,2221,2112,71325,1925,1719,67081,2250,1861,70329,2632,2204,71203,2560,1970,73505,2603,1933,73744,2506,2107,74702,2472,2025,80817,3452,2984
624,922,63858,5598,4654,75459,3841,3581,81646,3375,2902,79880,5809,5299,69133,5387,4583,68165,5599,4268,84497,4424,2803,68226,5607,4621,81393,4457,3921,74921,7059,6093,84710,5541,4707,81761,5833,4997,87545,5779,4900,84722,5865,5010,84526,8561,7731,78062,6198,4588,91340,6210,5472,89401,6420,5425,95521,7116,6099,93212,7324,6076,99759,7318,6348,100432,7271,6500,99544,6600,5456,94791,6335,5883,120473,9447,8812,102525,7136,6356,104563,8696,7761,109378,8435,6643,106831,10333,8307,109551,10190,7919,113041,12321,10505,105972,9570,7808,106545,11847,11162
624,876,63858,5598,4654,75459,3841,3581,81646,3375,2902,79880,5809,5299,69133,5387,4583,68165,5599,4268,84497,4424,2803,68226,5607,4621,81393,4457,3921,74921,7059,6093,84710,5541,4707,81761,5833,4997,87545,5779,4900,84722,5865,5010,84526,8561,7731,78062,6198,4588,91340,6210,5472,89401,6420,5425,95521,7116,6099,93212,7324,6076,99759,7318,6348,100432,7271,6500,99544,6600,5456,94791,6335,5883,120473,9447,8812,102525,7136,6356,104563,8696,7761,109378,8435,6643,106831,10333,8307,109551,10190,7919,113041,12321,10505,105972,9570,7808,106545,11847,11162
624,921,63858,5598,4654,75459,3841,3581,81646,3375,2902,79880,5809,5299,69133,5387,4583,68165,5599,4268,84497,4424,2803,68226,5607,4621,81393,4457,3921,74921,7059,6093,84710,5541,4707,81761,5833,4997,87545,5779,4900,84722,5865,5010,84526,8561,7731,78062,6198,4588,91340,6210,5472,89401,6420,5425,95521,7116,6099,93212,7324,6076,99759,7318,6348,100432,7271,6500,99544,6600,5456,94791,6335,5883,120473,9447,8812,102525,7136,6356,104563,8696,7761,109378,8435,6643,106831,10333,8307,109551,10190,7919,113041,12321,10505,105972,9570,7808,106545,11847,11162
33,510,425371,22970,17045,492410,20885,15550,407544,14205,10763,417103,17820,13758,476904,23290,17912,488064,21373,16423,469456,24502,18098,485404,23533,16774,491265,21347,16946,505780,22873,19257,483252,20978,17931,498580,19227,16095,503082,22947,19479,513590,20851,17264,538113,23526,21032,547347,20413,17386,537920,24792,20321,537079,21503,18402,546209,23801,19490,536190,19683,16511,537175,21813,17896,537441,20074,15780,536226,20145,17347,539777,21078,17119,42916,1215,1139,40213,518,468,40767,901,748,39576,1026,943,36375,786,645,37953,1005,896,36522,1478,1364,40093,2025,1981,33970,1801,1731
612,274,425371,22970,17045,492410,20885,15550,407544,14205,10763,417103,17820,13758,476904,23290,17912,488064,21373,16423,469456,24502,18098,485404,23533,16774,491265,21347,16946,505780,22873,19257,483252,20978,17931,498580,19227,16095,503082,22947,19479,513590,20851,17264,538113,23526,21032,547347,20413,17386,537920,24792,20321,537079,21503,18402,546209,23801,19490,536190,19683,16511,537175,21813,17896,537441,20074,15780,536226,20145,17347,539777,21078,17119,519995,19099,16784,505608,14459,11211,516869,19983,15651,532951,21238,16877,532338,25343,19721,526063,22359,16414,524152,23677,17810,488516,18285,14307,495160,21730,17816
612,510,425371,22970,17045,492410,20885,15550,407544,14205,10763,417103,17820,13758,476904,23290,17912,488064,21373,16423,469456,24502,18098,485404,23533,16774,491265,21347,16946,505780,22873,19257,483252,20978,17931,498580,19227,16095,503082,22947,19479,513590,20851,17264,538113,23526,21032,547347,20413,17386,537920,24792,20321,537079,21503,18402,546209,23801,19490,536190,19683,16511,537175,21813,17896,537441,20074,15780,536226,20145,17347,539777,21078,17119,519995,19099,16784,505608,14459,11211,516869,19983,15651,532951,21238,16877,532338,25343,19721,526063,22359,16414,524152,23677,17810,488516,18285,14307,495160,21730,17816
611,274,3496,45,43,2535,135,111,4597,110,50,5744,142,142,4276,204,177,5982,809,519,6906,48,26,4845,252,241,4673,71,71,5342,75,65,5617,474,427,4844,252,237,4552,854,775,5349,153,137,5587,220,207,6287,93,73,5099,486,239,6075,235,164,3434,371,315,3472,613,580,3556,229,157,3784,49,37,3755,150,144,3463,245,245,2542,234,216,2685,125,125,3534,212,190,3025,55,55,3021,163,132,3257,136,135,2419,134,134,3588,49,46,3797,489,489
613,531,148414,18259,16099,131136,16730,13686,155664,14025,9785,157229,14616,12542,170049,19146,16110,178485,16351,13498,189947,13971,11727,193190,20738,17151,210001,18567,16560,207111,25882,22182,236631,26670,24499,234722,25026,22355,209757,21848,19991,222802,23594,21438,220600,22237,20211,230691,22597,20745,244193,25586,23724,245128,29905,26920,234440,23616,21793,238447,29399,27973,232924,25930,23741,237151,30562,28534,227910,22405,20442,221894,19604,18566,28647,4111,3945,27282,3320,3059,30756,4185,3764,30611,3581,2987,29933,3495,3188,28329,2741,2325,25459,3495,3339,17993,2708,2519,27530,4630,4404
614,521,148414,18259,16099,131136,16730,13686,155664,14025,9785,157229,14616,12542,170049,19146,16110,178485,16351,13498,189947,13971,11727,193190,20738,17151,210001,18567,16560,207111,25882,22182,236631,26670,24499,234722,25026,22355,209757,21848,19991,222802,23594,21438,220600,22237,20211,230691,22597,20745,244193,25586,23724,245128,29905,26920,234440,23616,21793,238447,29399,27973,232924,25930,23741,237151,30562,28534,227910,22405,20442,221894,19604,18566,9195,45,45,8895,112,108,10117,270,255,9135,268,221,8693,244,165,8881,159,128,8389,152,8,6352,118,117,6079,45,27
615,521,148414,18259,16099,131136,16730,13686,155664,14025,9785,157229,14616,12542,170049,19146,16110,178485,16351,13498,189947,13971,11727,193190,20738,17151,210001,18567,16560,207111,25882,22182,236631,26670,24499,234722,25026,22355,209757,21848,19991,222802,23594,21438,220600,22237,20211,230691,22597,20745,244193,25586,23724,245128,29905,26920,234440,23616,21793,238447,29399,27973,232924,25930,23741,237151,30562,28534,227910,22405,20442,221894,19604,18566,251122,14548,14237,236658,13400,13076,230991,16082,15278,237064,18150,17054,226080,17767,16439,227634,20403,18007,228269,22138,20606,225531,19758,18884,213767,22630,21755
615,531,148414,18259,16099,131136,16730,13686,155664,14025,9785,157229,14616,12542,170049,19146,16110,178485,16351,13498,189947,13971,11727,193190,20738,17151,210001,18567,16560,207111,25882,22182,236631,26670,24499,234722,25026,22355,209757,21848,19991,222802,23594,21438,220600,22237,20211,230691,22597,20745,244193,25586,23724,245128,29905,26920,234440,23616,21793,238447,29399,27973,232924,25930,23741,237151,30562,28534,227910,22405,20442,221894,19604,18566,251122,14548,14237,236658,13400,13076,230991,16082,15278,237064,18150,17054,226080,17767,16439,227634,20403,18007,228269,22138,20606,225531,19758,18884,213767,22630,21755
615,522,148414,18259,16099,131136,16730,13686,155664,14025,9785,157229,14616,12542,170049,19146,16110,178485,16351,13498,189947,13971,11727,193190,20738,17151,210001,18567,16560,207111,25882,22182,236631,26670,24499,234722,25026,22355,209757,21848,19991,222802,23594,21438,220600,22237,20211,230691,22597,20745,244193,25586,23724,245128,29905,26920,234440,23616,21793,238447,29399,27973,232924,25930,23741,237151,30562,28534,227910,22405,20442,221894,19604,18566,251122,14548,14237,236658,13400,13076,230991,16082,15278,237064,18150,17054,226080,17767,16439,227634,20403,18007,228269,22138,20606,225531,19758,18884,213767,22630,21755
615,532,148414,18259,16099,131136,16730,13686,155664,14025,9785,157229,14616,12542,170049,19146,16110,178485,16351,13498,189947,13971,11727,193190,20738,17151,210001,18567,16560,207111,25882,22182,236631,26670,24499,234722,25026,22355,209757,21848,19991,222802,23594,21438,220600,22237,20211,230691,22597,20745,244193,25586,23724,245128,29905,26920,234440,23616,21793,238447,29399,27973,232924,25930,23741,237151,30562,28534,227910,22405,20442,221894,19604,18566,251122,14548,14237,236658,13400,13076,230991,16082,15278,237064,18150,17054,226080,17767,16439,227634,20403,18007,228269,22138,20606,225531,19758,18884,213767,22630,21755
