,소비자물가지수,기대인플레이션율,생산자물가지수,국내공급물가지수,수입물가지수,전산업생산지수,경기종합지수,제조업 평균가동률,생산지수-총지수,생산자제품 출하지수-총지수,생산자제품 재고지수-총지수,물가수준전망,경제심리지수,경제활동인구,실업률,경제활동참가율,예금은행대출금,M1상품별구성내역,주택담보대출,무담보콜금리,국고채금리(1년),국고채금리(10년),"회사채(3년,AA-)","회사채(3년,BBB-)",주택담보대출 연리,환율-원/미국달러,수입금액지수,수입물량지수,순상품교역조건지수,소득교역조건지수,주택매매가격지수,아파트 매매 가격지수,KOSPI 시가총액,미국 소비자물가지수,중국 생산자물가지수,미국 생산자물가지수,한국은행 기준금리,추계인구,남성 인구,여성 인구,고령 인구 비율(65세 이상),합계출산율,Wage,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2011-02-01,88.892,3.7,101.03,107.18,136.18,77.3,100.8,80.5,79.987,86.156,67.137,153.0,113.1,24694.0,4.5,60.0,1001239.2,432482.8,363460.7,2.75,3.39,4.76,4.72,10.74,4.84,1118.14,94.09,69.45,97.42,62.22,66.83,76.0,1090000000000.0,101.49,105.6,103.41,2.75,49936638.0,25069867.0,24866771.0,11.0,1.244,4238.171212,1822824891.1588345,3717269.568221313,505584.8064657105,722211545.3910521,56645936.24840743,6601987.338183839,234366079.9908962,86488516.74503955,127909071.45453195,2234593.610049172,38522046.079175554,77184328.80462761,4036571.310007143,37318622.03658675,23917589.523835484,21179739.00320466,8061653.755351034
2011-03-01,89.238,3.9,102.24,109.33,141.08,90.8,100.9,82.0,96.159,102.188,68.442,158.0,109.8,25193.0,4.3,61.1,1008342.8,430936.6,366083.7,2.92,3.42,4.51,4.54,10.58,4.96,1122.45,117.16,83.3,96.27,74.42,67.482,76.9,1180000000000.0,102.48,106.2,103.31,3.0,49936638.0,25069867.0,24866771.0,11.0,1.244,4257.662386,1828508741.3785727,3791784.251991789,512553.6559034722,725898065.2115315,57231458.95635775,6670147.322474708,232239886.2092251,86296326.91259369,128650370.63755476,2266367.369628872,38895111.42298706,77057943.81871343,4022901.270739669,37509254.983727664,24090384.14430537,21459924.92058325,8171936.3384962175
2011-04-01,89.325,4.0,102.87,109.8,141.95,86.7,100.4,80.6,92.854,98.411,68.964,157.0,113.5,25524.0,3.7,61.8,1020032.7,425420.5,369210.2,3.01,3.43,4.48,4.54,10.58,5.05,1086.84,114.1,78.8,95.16,71.72,68.037,78.0,1230000000000.0,103.14,106.8,103.61,3.0,49936638.0,25069867.0,24866771.0,11.0,1.244,4278.304668,1834442213.4064436,3876885.991539856,518488.204596472,729055949.4482267,57775550.920365386,6737412.572696213,230742436.11065903,85975553.01651952,129437327.86687174,2311911.891800787,39391671.05408269,76751249.02344169,4016563.955146692,37676422.08828419,24292945.433971148,21808286.929355644,8304837.29385092
2011-05-01,89.497,3.9,103.18,109.74,138.92,87.3,100.8,80.7,93.202,97.674,70.857,156.0,111.3,25775.0,3.2,62.4,1027141.8,423994.7,371112.4,3.02,3.43,4.34,4.44,10.48,5.13,1083.54,115.83,77.31,91.08,69.14,68.511,78.2,1200000000000.0,103.63,107.11,103.7,3.0,49936638.0,25069867.0,24866771.0,11.0,1.244,4298.666237,1839750278.6634672,3959963.1860542623,522664.4896354521,731316208.1688749,58200355.34240711,6794867.703352802,230006705.45320025,85573938.75711252,130142472.0326573,2364703.824203175,39936253.19131441,76303736.84457596,4018656.754059716,37792868.40684324,24494462.59835762,22178999.89008105,8441520.82796841
2011-06-01,89.67,4.0,102.95,109.85,138.21,90.2,101.0,81.5,94.246,98.687,71.639,153.0,108.3,25900.0,3.3,62.6,1028822.5,421885.3,373466.3,3.2,3.49,4.24,4.4,10.44,5.17,1081.27,114.8,77.82,91.94,70.98,68.848,78.7,1180000000000.0,103.52,107.11,103.9,3.25,49936638.0,25069867.0,24866771.0,11.0,1.244,4320.0,1844707287.7593093,4044541.795861874,525590.7032948784,732966641.9217997,58536848.064227305,6846943.15013627,229830252.9210827,85082722.77472417,130788627.33909056,2426494.2707959656,40544304.07343042,75702822.90551339,4028703.39499252,37864847.17595636,24702207.869713884,22591876.622014463,8588173.920677416
2011-07-01,90.102,4.0,103.09,109.41,136.49,86.8,101.0,80.5,92.159,96.015,72.945,154.0,107.4,25780.0,3.3,62.2,1036406.5,418973.1,376063.1,3.26,3.59,4.23,4.48,10.47,5.2,1059.5,113.46,77.25,92.2,72.37,69.129,79.2,1200000000000.0,103.61,107.11,103.61,3.25,49936638.0,25069867.0,24866771.0,11.0,1.244,4341.540125,1848917314.892418,4123238.7066871305,527298.001857662,734032022.305608,58765861.82858047,6890853.630245399,230077631.61862832,84550838.8085309,131310955.51928942,2491604.038009839,41156627.669749536,75003787.72280918,4045466.2568998113,37886269.33962471,24896879.684292424,23015588.20476262,8732534.96000902
2011-08-01,90.707,4.3,103.22,109.61,136.84,84.8,101.2,79.5,88.334,93.343,73.075,157.0,106.3,25556.0,3.0,61.6,1042136.7,422649.3,378014.7,3.25,3.5,3.96,4.29,10.27,5.22,1073.17,115.33,78.18,91.39,69.11,69.47,79.7,1060000000000.0,103.89,107.31,103.7,3.25,49936638.0,25069867.0,24866771.0,11.0,1.244,4361.142927,1852581508.130864,4199287.859944282,528129.9784998556,734720491.3128338,58905319.76669843,6930126.602668818,230611940.8537379,83960840.85176511,131720093.04506049,2562605.418792156,41793186.31629247,74177278.71960458,4069447.0714949854,37857053.19074042,25085293.91768845,23473480.69904868,8881302.759472884
2011-09-01,90.62,4.3,103.3,110.91,141.63,87.8,100.8,80.1,90.768,96.015,73.271,152.0,105.9,25372.0,3.0,61.2,1052250.8,425196.4,379947.1,3.25,3.41,3.75,4.24,10.18,5.23,1118.61,116.71,79.67,91.41,72.72,69.848,80.2,1000000000000.0,104.05,107.31,103.31,3.25,49936638.0,25069867.0,24866771.0,11.0,1.244,4382.989234,1855467460.558261,4267934.104207082,528247.9808264662,735129139.6611973,58948693.8945017,6963808.2964710025,231273596.03137293,83348104.5467258,131971906.07837673,2635591.744611423,42412430.72758927,73262421.87208033,4099570.356402529,37774108.21179564,25254489.282284517,23946777.46328799,9026685.429788306
2011-10-01,90.448,4.3,103.2,111.52,143.01,88.4,101.0,80.7,95.376,100.622,75.293,152.0,104.0,25710.0,2.9,61.9,1064421.3,421480.1,382936.1,3.24,3.46,3.86,4.29,10.22,5.23,1155.45,110.21,75.75,90.51,71.5,70.126,80.5,1080000000000.0,103.84,106.6,103.9,3.25,49936638.0,25069867.0,24866771.0,11.0,1.244,4404.254544,1857442373.6034467,4325369.798773844,527904.7392113004,735390872.7833403,58901754.1557658,6991660.577834432,231886713.33596325,82750915.85500184,132042397.00657213,2706402.2904954115,42975027.69614629,72309650.94502415,4133974.444180926,37641220.72825585,25393964.34567893,24414730.23757725,9161324.350025509
2011-11-01,90.534,4.2,102.87,110.52,141.01,88.4,100.7,79.9,95.028,99.701,76.728,149.0,104.1,25621.0,2.9,61.6,1071358.2,423111.9,384750.5,3.26,3.42,3.8,4.24,10.09,5.22,1132.31,109.69,76.81,91.39,72.87,70.403,80.9,1050000000000.0,103.75,105.9,104.39,3.25,49936638.0,25069867.0,24866771.0,11.0,1.244,4426.335647,1858558387.7286296,4373411.470641584,527307.1441518806,735660256.1876861,58764026.78151663,7016140.359164689,232338774.6492128,82147475.12145692,131912079.8179864,2777989.401302825,43497624.449466765,71272697.64528714,4174337.148268316,37448021.72319938,25506855.20005464,24903634.495409016,9291270.192421207
